Input condition,OA (%),Macro F1,mIoU,kappa
LR (x4 down),46.48,0.37626756812681617,0.29150811137919425,0.33099999999999996
Bilinear,39.6,0.2686745540259316,0.18677549652899111,0.245
Bicubic,39.879999999999995,0.2764786000044771,0.1911602306576361,0.24849999999999997
Lanczos,40.08,0.28328565361821434,0.19459683607369746,0.25099999999999995
Bicubic + unsharp,39.519999999999996,0.3002302812720683,0.19839158469276708,0.24399999999999997
Back-projection,42.28,0.3348893694462849,0.22638716321126312,0.27849999999999997
HR reference,99.11999999999999,0.991189373962794,0.982556094940571,0.9889999999999999
