name,psnr,ssim,lpips,oa,tug,tug_ci_low,tug_ci_high,tur,rank_psnr,rank_tug
Bilinear,32.09626717691462,0.8144689524969331,,0.396,1.1306990881458967,1.110283019711709,1.152651220145379,-0.1306990881458967,1.0,4.0
Bicubic,32.092469838585714,0.8101167019364706,,0.3988,1.1253799392097266,1.103806875815099,1.1469018450944617,-0.1253799392097265,2.0,3.0
Lanczos,31.99683583178937,0.8052381658591347,,0.4008,1.121580547112462,1.100150574270175,1.143521185355863,-0.121580547112462,3.0,2.0
Bicubic + unsharp,31.632744905209005,0.7896571729575069,,0.3952,1.1322188449848023,1.1067355538733283,1.1576602397081814,-0.1322188449848025,4.0,5.0
Back-projection,30.96488134868361,0.761913544100516,,0.4228,1.0797872340425532,1.0561262754755285,1.1031084154662625,-0.0797872340425531,5.0,1.0
