model,name,oa,macro_f1,kappa,miou,tug,tug_ci_low,tug_ci_high,tur,tug_macro_f1,tug_kappa,tug_miou,tug_recall_water,tug_recall_vegetation,tug_recall_built_up,tug_recall_barren,tug_recall_cropland,psnr,ssim,mse,lpips,rank_tug,rank_psnr
bilinear,Bilinear,0.396,0.2686745540259316,0.245,0.18677549652899111,1.1306990881458967,1.110283019711709,1.152651220145379,-0.1306990881458967,1.174970236995602,1.1306990881458967,1.1515562122190912,-0.07142857142857142,1.5535714285714284,1.0,1.0,2.280000000000003,32.09626717691462,0.8144689524969331,54.48328462291844,,4.0,1.0
bicubic,Bicubic,0.3988,0.2764786000044771,0.24849999999999997,0.1911602306576361,1.1253799392097266,1.103806875815099,1.1469018450944617,-0.12537993920972657,1.1622791177272975,1.1253799392097266,1.1452111620446477,0.0,1.4964285714285712,1.0,1.0,2.6000000000000036,32.092469838585714,0.8101167019364706,53.36862612448654,,3.0,2.0
lanczos,Lanczos,0.4008,0.28328565361821434,0.25099999999999995,0.19459683607369746,1.121580547112462,1.100150574270175,1.143521185355863,-0.12158054711246202,1.15120933039965,1.121580547112462,1.1402381276131592,0.0,1.4321428571428572,1.0,1.0,3.1200000000000045,31.99683583178937,0.8052381658591347,54.11886619019096,,2.0,3.0
bicubic_usm,Bicubic + unsharp,0.3952,0.3002302812720683,0.24399999999999997,0.19839158469276708,1.1322188449848025,1.1067355538733283,1.1576602397081814,-0.13221884498480252,1.1236535867375466,1.1322188449848023,1.1347468322048244,0.21428571428571427,1.0785714285714285,1.0,0.9859719438877755,7.8000000000000105,31.632744905209005,0.7896571729575069,58.097315552019154,,5.0,4.0
backprojection,Back-projection,0.4228,0.3348893694462849,0.27849999999999997,0.22638716321126312,1.0797872340425532,1.0561262754755283,1.1031084154662623,-0.07978723404255317,1.0672901794794514,1.0797872340425532,1.094235059962587,0.7857142857142857,1.075,1.0,0.9358717434869739,5.760000000000006,30.96488134868361,0.761913544100516,68.4702361367465,,1.0,5.0
